tsp_file,algorithm,cost,elapsed_time
tsp1_253,parallel_bruteforce,253,13.7630232
tsp2_1248,bruteforce,1248,0.0001685
tsp2_1248,parallel_bruteforce,1248,0.000304
tsp1_253,bruteforce,253,12.0928025
tsp1_253,parallel_bruteforce,253,12.999991
tsp2_1248,bruteforce,1248,0.0001734
tsp2_1248,parallel_bruteforce,1248,0.0002207
tsp1_253,bruteforce,253,11.1628656
tsp1_253,parallel_bruteforce,253,12.7197277
tsp2_1248,bruteforce,1248,0.000161
tsp2_1248,parallel_bruteforce,1248,0.0002236
tsp1_253,bruteforce,253,11.1425881
tsp1_253,parallel_bruteforce,253,12.3763121
tsp2_1248,bruteforce,1248,0.0001638
tsp2_1248,parallel_bruteforce,1248,0.0002329
tsp1_253,bruteforce,253,11.2562409
tsp1_253,parallel_bruteforce,253,12.0945781
tsp2_1248,bruteforce,1248,0.000159
tsp2_1248,parallel_bruteforce,1248,0.0002306
tsp1_253,bruteforce,253,11.3991917
tsp1_253,parallel_bruteforce,253,12.3035052
tsp2_1248,bruteforce,1248,0.0001952
tsp2_1248,parallel_bruteforce,1248,0.0002607
tsp1_253,bruteforce,253,11.2059833
tsp1_253,parallel_bruteforce,253,12.1281032
tsp2_1248,bruteforce,1248,0.0003174
tsp2_1248,parallel_bruteforce,1248,0.0003993
tsp1_253,bruteforce,253,11.8016559
tsp1_253,parallel_bruteforce,253,16.2111313
tsp2_1248,bruteforce,1248,0.000281
tsp2_1248,parallel_bruteforce,1248,0.0010083
tsp1_253,bruteforce,253,14.8497695
tsp1_253,parallel_bruteforce,253,16.4378839
tsp2_1248,bruteforce,1248,0.0001746
tsp2_1248,parallel_bruteforce,1248,0.0004655
tsp1_253,bruteforce,253,24.0351729
tsp1_253,parallel_bruteforce,253,15.7665591
tsp2_1248,bruteforce,1248,0.0001769
tsp2_1248,parallel_bruteforce,1248,0.0003005
tsp1_253,bruteforce,253,23.3588079
tsp1_253,parallel_bruteforce,253,15.9544545
tsp2_1248,bruteforce,1248,0.0002008
tsp2_1248,parallel_bruteforce,1248,0.0002667
tsp1_253,bruteforce,253,25.8173221
tsp1_253,parallel_bruteforce,253,19.5624395
tsp2_1248,bruteforce,1248,0.0001742
tsp2_1248,parallel_bruteforce,1248,0.0003905
tsp1_253,bruteforce,253,28.797764
tsp1_253,parallel_bruteforce,253,19.4805977
